Date,Total Guest Visits,First time,2 to 4,5+ times
7/28/2016,156,154,2,NA
8/4/2016,108,83,24,NA
8/11/2016,111,76,34,NA
8/18/2016,78,42,35,NA
8/25/2016,126,80,39,1
9/1/2016,129,90,27,7
9/8/2016,184,131,39,9
9/15/2016,133,91,27,9
9/22/2016,83,48,22,11
9/29/2016,170,108,40,13
10/13/2016,139,69,49,18
10/20/2016,158,105,28,21
10/27/2016,204,118,59,25
11/3/2016,193,113,49,22
11/10/2016,147,56,55,27
11/17/2016,205,116,55,24
12/1/2016,167,97,35,29
12/8/2016,166,81,42,39
12/15/2016,144,76,35,30
1/5/2017,137,88,24,24
1/12/2017,192,113,46,30
1/19/2017,257,154,64,34
1/26/2017,185,78,64,36
2/2/2017,201,100,50,43
2/9/2017,260,123,70,52
2/16/2017,266,148,72,41
2/23/2017,370,226,82,47
3/2/2017,217,85,66,53
3/9/2017,240,115,58,57
3/16/2017,260,134,65,52
3/23/2017,252,143,39,54
3/30/2017,275,147,46,76
4/6/2017,195,66,43,75
4/13/2017,202,90,45,62
4/20/2017,218,94,55,62
4/27/2017,266,136,41,79
5/4/2017,425,271,76,69
5/11/2017,334,161,70,91
5/18/2017,205,82,39,76
5/25/2017,400,256,63,73
6/1/2017,249,102,68,73
6/8/2017,356,201,69,78
6/15/2017,300,153,64,75
6/22/2017,303,133,97,66
6/29/2017,380,162,131,74
7/6/2017,275,106,81,79
7/13/2017,267,88,87,76
7/20/2017,309,139,80,79
7/27/2017,331,127,90,96
8/3/2017,352,165,99,78
8/10/2017,419,232,85,85
8/17/2017,336,146,83,91
8/24/2017,291,114,76,86
8/31/2017,271,84,83,94
9/14/2017,91,24,25,40
9/21/2017,211,65,52,84
9/28/2017,283,108,78,85
10/5/2017,265,112,54,94
10/12/2017,325,143,70,97
10/19/2017,412,195,110,95
10/26/2017,379,189,95,86
11/2/2017,292,129,56,88
11/9/2017,263,86,75,92
11/16/2017,278,117,68,85
11/30/2017,217,72,46,89
12/7/2017,246,99,44,91
12/14/2017,271,115,61,88